sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
128.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,23.0,1.0,2.0,3.0,June
129.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,9.0,0.0,0.0,1.0,June
130.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0.0,1.0,0.0,0.0,June
131.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0.0,0.0,0.0,0.0,June
132.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,8.0,2.0,2.0,1.0,June
133.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,14.0,4.0,2.0,2.0,June
134.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,29.0,4.0,2.0,3.0,June
135.0,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1.0,0.0,0.0,0.0,June
136.0,A - IPC Crime,Preparation And Assembly for Dacoity,,72.0,10.0,13.0,20.0,June
137.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0.0,0.0,0.0,0.0,June
138.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,92.0,7.0,14.0,16.0,June
139.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,58.0,6.0,18.0,4.0,June
140.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,6.0,1.0,1.0,3.0,June
141.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0.0,0.0,0.0,0.0,June
142.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,43.0,7.0,6.0,13.0,June
143.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,443.0,60.0,81.0,61.0,June
144.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,351.0,46.0,58.0,58.0,June
145.0,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,25.0,6.0,5.0,2.0,June
146.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1358.0,252.0,255.0,236.0,June
147.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,1.0,1.0,0.0,0.0,June
148.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0.0,0.0,0.0,0.0,June
