sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,12.0,3.0,0.0,1.0,July
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5.0,0.0,0.0,1.0,July
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0.0,0.0,0.0,0.0,July
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5.0,0.0,0.0,0.0,July
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0.0,0.0,0.0,0.0,July
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,19.0,1.0,0.0,2.0,July
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,2.0,0.0,0.0,0.0,July
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3.0,1.0,0.0,0.0,July
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5.0,1.0,0.0,0.0,July
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1.0,0.0,0.0,0.0,July
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,1700.0,244.0,151.0,152.0,July
